,fin,wrnty_start_dt,sales_area_nm,prod_dt
131,WDB53048988116667,2018-12-18,512,2016-10-05
132,WDB15185905338501,2020-01-09,761,2018-10-18
133,W1T24276671664324,2015-10-17,274,2014-09-22
134,W1T40419865077329,2018-02-27,682,2011-11-25
135,NMB34424268811936,2023-07-17,922,2020-04-24
136,W1T16775211601208,2023-05-14,287,2022-05-19
137,NMB38909910048248,2014-05-13,537,2012-08-08
138,W1T73540570269851,2018-08-26,559,2018-04-11
139,NMB77155105019623,2018-08-19,669,2018-02-19
140,W1T88070718707160,2023-02-07,924,2018-11-21
141,W1T90179890436626,2019-12-29,517,2018-10-23
142,NMB48423488017268,2022-11-19,613,2022-06-10
143,WDB32937020963594,2019-11-12,623,2018-08-30
144,NMB52065331583282,2020-01-11,276,2012-01-31
145,WEB12108438695985,2020-02-19,935,2012-12-29
146,WDB83654015344905,2022-06-23,823,2013-01-10
147,WEB60270880604968,2022-02-09,512,2021-03-11
148,NMB80295567488161,2023-05-12,902,2016-01-08
149,WEB55680717656853,2014-12-11,821,2011-11-21
150,NMB65478386511359,2023-09-27,520,2011-10-04
151,W1T96948122261951,2018-11-26,687,2018-05-31
152,WDB19030459164530,2023-02-09,554,2018-07-10
153,WDB99014226442702,2022-04-12,633,2020-08-13
154,NMB84453187179336,2023-09-16,643,2023-03-27
155,W1T47212113968394,2021-07-09,930,2018-05-01
156,WEB74676852527267,2022-06-10,795,2020-01-17
157,WEB15143458717124,2023-04-23,765,2018-11-02
158,NMB98781088915715,2023-03-18,242,2021-12-26
159,NMB40255567582254,2017-05-10,868,2016-10-10
160,NMB63610127486243,2019-03-01,603,2018-09-29
161,W1T48552538479404,2016-09-10,641,2012-06-02
162,WDB96620829102786,2019-04-18,241,2015-11-14
163,WEB31542357328314,2015-11-08,293,2015-09-09
164,NMB90070411020027,2017-02-09,513,2015-12-13
165,WEB39404456021520,2023-08-22,206,2019-03-24
166,W1T11204271902229,2021-09-03,237,2018-12-23
167,WEB99102431460880,2013-12-18,539,2013-06-12
168,NMB29368717539187,2018-01-08,768,2017-06-30
169,WEB10794060034744,2022-08-07,518,2016-01-08
170,WEB11774675608871,2022-03-04,901,2020-12-09
171,W1T78471222626909,2022-01-29,299,2021-09-22
172,WEB63175470234606,2020-09-04,649,2019-12-23
173,W1T69849812533262,2023-08-13,529,2022-07-20
174,W1T64107926913086,2013-06-13,853,2011-01-15
175,NMB31797967127653,2023-05-22,293,2021-08-29
176,WEB57308922037238,2022-08-11,739,2017-08-29
177,WDB15250702982785,2020-10-06,915,2019-02-24
178,NMB46807140747031,2022-01-06,219,2018-11-08
179,WDB54590114582304,2020-11-13,296,2016-10-09
180,WEB58667144081916,2021-05-26,207,2017-07-26
181,WDB83605205610983,2023-08-07,622,2019-03-13
182,W1T95410705739535,2020-05-14,685,2019-02-06
183,W1T91967278685130,2019-10-30,206,2018-12-08
184,WDB77808200607355,2023-03-11,385,2022-04-14
185,WEB20161647902044,2023-08-09,221,2019-09-07
186,W1T64561529905591,2018-01-07,803,2017-03-07
187,WEB28759763815986,2020-06-01,638,2018-11-28
188,WEB88217230173177,2018-12-09,438,2011-01-05
189,W1T60799404314463,2022-09-24,558,2020-06-11
190,W1T87093621780475,2020-01-01,682,2014-02-27
191,WDB66390288243994,2018-04-06,803,2016-06-24
192,WDB21786243336234,2018-03-20,678,2018-02-08
193,WEB69712586311484,2023-06-01,607,2022-07-06
194,WDB10463904314426,2023-05-27,401,2016-02-17
195,NMB64358573073838,2023-08-27,915,2023-02-12
196,WEB26316289086767,2019-01-13,268,2014-01-13
197,WEB87262752325330,2022-02-08,639,2014-01-30
198,W1T62350379273930,2020-01-09,245,2014-12-29
199,WEB73089786665210,2019-06-16,238,2015-09-30
200,WEB95562131615138,2023-01-26,770,2018-08-02
201,WDB39372831207646,2023-09-22,226,2012-08-04
202,NMB55641296394009,2015-02-13,254,2011-08-07
203,NMB66946453336012,2020-05-13,609,2017-06-07
204,WEB51692421962730,2023-01-27,669,2021-07-18
205,WDB83115745988023,2021-09-30,647,2013-07-14
206,WDB60265590006546,2020-04-10,272,2016-04-22
207,NMB54734643367042,2022-10-30,875,2022-08-02
208,WDB89600136774383,2019-04-24,253,2016-11-26
209,WEB69924771915734,2013-03-14,787,2011-10-04
210,WDB58625116467092,2021-12-25,219,2021-10-28
211,NMB59928873789493,2020-06-09,902,2018-12-12
212,WEB38551202778428,2023-05-24,555,2022-05-13
213,WDB74398030036494,2021-07-15,271,2013-07-02
214,W1T81776569554582,2022-06-01,274,2022-04-03
215,NMB75573305661640,2022-02-20,205,2021-09-18
216,NMB52357029068895,2022-04-22,528,2021-09-16
217,WEB63890759362269,2022-05-14,925,2022-03-11
218,NMB55406648183705,2020-10-17,634,2020-07-02
219,NMB85953469679221,2022-06-01,642,2020-09-11
220,WEB87894636723548,2021-09-05,516,2020-03-15
221,WEB59381075035169,2014-12-08,930,2013-05-11
222,WEB83235023999677,2020-05-26,841,2013-05-30
223,W1T60698719892470,2018-01-24,239,2014-07-15
224,WDB46557722841847,2023-04-10,847,2022-08-07
225,NMB86095109383226,2018-11-07,724,2012-05-27
226,WEB49533792382753,2015-08-27,679,2013-10-11
227,WEB31259985502427,2014-06-30,629,2011-02-04
228,W1T36327735580858,2022-05-16,211,2013-09-16
229,WDB12329556663826,2012-05-22,766,2011-04-08
230,WEB66624727659904,2017-05-05,853,2017-03-10
231,WDB90647046083623,2012-08-12,857,2011-10-10
232,W1T45708705386367,2021-07-29,720,2012-01-22
233,WEB17058098045991,2017-12-07,258,2016-11-21
234,WDB80180107004344,2021-10-03,402,2015-06-11
235,NMB68119851486461,2022-06-28,620,2020-05-13
236,WDB26300074611193,2021-08-31,926,2020-07-09
237,W1T18201587669948,2021-09-26,275,2018-11-24
238,WEB13277300527623,2017-05-28,843,2016-08-22
239,NMB32097916763633,2022-10-16,411,2014-09-28
240,W1T69139750124827,2022-01-22,412,2021-03-29
241,W1T11193412852883,2020-10-27,627,2012-10-03
242,WDB47002855853469,2023-07-31,546,2022-10-01
243,WEB86168525738495,2022-04-08,930,2013-09-07
244,NMB61873611116064,2021-09-02,601,2020-02-01
245,W1T48553862519396,2022-04-16,226,2021-11-01
246,WEB63136420003951,2023-01-07,525,2021-02-21
247,WEB49075699576503,2019-02-08,215,2017-03-13
248,NMB76222102730542,2012-07-29,921,2012-07-07
249,WDB93332076753255,2021-05-16,402,2017-02-09
250,WEB98265762413037,2023-06-05,810,2021-02-12
251,WEB24193370293094,2023-05-22,255,2014-07-17
252,NMB57441481843140,2018-12-10,635,2011-11-21
253,NMB86701730873316,2023-09-23,247,2014-03-10
254,W1T18905965803664,2023-07-22,848,2019-12-30
255,W1T35232055003667,2016-05-14,675,2014-09-04
256,WDB97350122978590,2021-10-24,216,2017-01-10
257,NMB69737318008557,2023-07-06,935,2022-11-22
258,WDB50282229383345,2021-03-31,743,2019-06-05
259,NMB61567879595139,2016-02-14,513,2012-01-17
260,WEB74804498825938,2021-09-24,677,2020-08-18
261,W1T10253191868753,2023-06-22,639,2022-04-10
262,WEB82395937444617,2023-04-17,607,2014-02-21
263,NMB89005657131302,2023-05-18,486,2021-06-16
264,NMB36322676496380,2022-07-19,749,2022-03-27
265,NMB66650683516183,2022-06-27,719,2020-02-26
266,W1T32967725017573,2023-07-19,676,2019-07-02
267,WEB33146810196279,2020-07-11,254,2019-02-04
268,W1T74372726754400,2018-08-07,531,2017-01-12
269,WDB81717167739485,2019-08-28,767,2015-04-13
270,W1T47611693474485,2016-05-13,645,2014-05-29
271,WDB35931529568588,2021-01-29,281,2020-07-05
272,NMB75727850244806,2020-12-10,925,2019-11-25
273,WDB26435071578748,2018-03-29,218,2017-05-17
274,WDB47543714527054,2022-03-09,611,2012-04-18
275,W1T40591227596931,2022-09-04,934,2019-04-05
276,WDB83223800772081,2021-05-19,928,2020-02-23
277,W1T48347651488232,2019-08-28,627,2019-07-10
278,W1T34282309729695,2018-03-02,224,2017-07-16
279,NMB37909275401769,2018-10-15,609,2013-06-14
280,WDB70074284318476,2020-09-25,823,2014-11-19
281,WEB15528493836170,2022-10-24,812,2022-02-08
282,WEB19136062609655,2021-05-26,727,2020-01-30
283,WEB77376299160997,2023-04-03,533,2022-11-26
284,WEB74721551209798,2016-01-03,224,2014-10-25
285,WDB44919296795255,2023-01-16,243,2022-08-19
286,WEB31629622209401,2022-05-17,289,2020-01-27
287,WDB34611600347589,2022-06-14,815,2021-10-30
288,WEB94828127426666,2017-12-20,741,2013-04-23
289,WDB59334064747634,2021-05-06,521,2020-05-12
290,NMB94565414760603,2019-02-25,230,2012-04-30
291,NMB42780828143931,2022-06-18,253,2012-07-09
292,W1T54898643960317,2019-02-21,616,2014-08-15
293,WEB13418602722493,2023-01-07,246,2022-09-18
294,WDB74456158799588,2021-02-22,289,2018-03-20
295,WEB42287213168056,2022-12-06,795,2019-02-22
296,WEB96497178215540,2020-12-21,607,2015-05-02
297,NMB36809781084212,2019-10-20,273,2017-09-27
298,NMB70082350268945,2017-06-21,822,2016-01-22
299,WEB92546787398989,2023-02-16,525,2021-07-30
300,NMB40154630001631,2023-06-23,651,2022-09-21
301,W1T37337766510979,2018-11-03,486,2015-02-07
302,W1T89762006079358,2021-04-04,541,2014-03-03
303,NMB94138935435539,2022-08-13,518,2021-05-12
304,WEB21286362992585,2018-04-08,571,2016-02-25
305,NMB35016490797995,2021-11-26,687,2020-06-25
306,WEB59432199640852,2021-08-05,851,2011-10-30
307,W1T37753586505894,2022-04-02,544,2021-03-16
308,NMB67945731226709,2022-09-26,541,2015-04-06
309,WDB47119020248313,2023-02-14,793,2021-01-21
310,WDB52179537070718,2017-11-07,635,2016-01-29
311,WEB84942789404234,2013-09-01,634,2011-02-11
312,NMB21676234956331,2023-06-28,606,2020-02-25
313,W1T77123214331609,2023-05-23,785,2018-12-11
314,NMB38877008475394,2021-02-17,685,2011-03-04
315,W1T51300529034991,2022-09-05,547,2022-03-31
316,W1T72050995700551,2020-09-30,751,2014-11-10
317,NMB86998641910033,2023-04-10,557,2021-08-28
318,NMB10855424398481,2022-02-11,769,2015-09-25
319,NMB85641189357268,2016-06-25,926,2014-03-10
320,WDB23713015479377,2017-12-20,918,2017-08-27
321,W1T14279274185090,2023-08-05,663,2020-02-22
322,W1T53736327576029,2022-07-18,519,2018-07-04
323,NMB38821086087462,2018-08-16,368,2016-01-09
324,WEB70252575805153,2021-07-05,849,2019-05-25
325,WDB92905431825635,2020-03-04,525,2016-01-16
326,NMB83170422457997,2021-11-29,385,2013-04-19
327,W1T22661983426148,2019-12-30,677,2019-05-05
328,NMB90887692921853,2023-08-01,783,2022-05-28
329,WEB35085867829576,2023-03-02,779,2016-09-28
330,WDB10764943157433,2014-07-01,783,2013-05-23
331,W1T84832195399986,2021-10-08,863,2014-10-03
332,W1T92423934770600,2022-08-09,816,2020-09-27
333,WEB27918551067908,2021-04-26,883,2020-06-09
334,WDB72709218442791,2023-04-27,677,2022-04-26
335,W1T69525067854983,2023-05-30,743,2023-02-05
336,WDB34912843679393,2023-02-09,925,2022-03-06
337,W1T10407318093362,2019-09-01,550,2019-03-30
338,WDB45408794919386,2019-04-19,495,2015-01-14
339,WEB55485645573323,2022-04-15,229,2011-08-12
340,NMB72401632028236,2023-04-27,221,2023-01-02
341,WEB52608833808571,2022-08-02,544,2022-07-27
342,WEB95263353575782,2018-11-18,556,2011-02-12
343,WDB35137252133769,2021-03-31,512,2019-09-30
344,WDB23351138802312,2017-06-24,563,2012-12-07
345,WDB88196693609853,2018-07-24,404,2017-04-04
346,WDB35455598285629,2021-03-23,495,2016-02-02
347,WEB69558470564658,2022-11-16,614,2018-12-10
348,W1T92319514672401,2020-07-24,812,2017-12-15
349,WEB94863814383756,2018-12-31,269,2015-02-14
350,NMB24481765610045,2022-09-28,821,2019-03-05
351,WEB74625519378680,2019-05-17,933,2017-09-06
352,W1T90178329288000,2022-02-16,767,2019-08-15
353,W1T98291367626813,2013-12-04,533,2013-02-28
354,WDB35728570455053,2020-01-13,402,2018-08-17
355,NMB12973693297089,2019-09-28,811,2017-11-09
356,WEB38039068852219,2023-02-05,235,2012-04-06
357,W1T10537641492682,2022-12-22,486,2018-09-15
358,W1T36864061014529,2017-12-28,725,2011-11-03
359,W1T18563553433313,2023-04-17,654,2023-02-23
360,NMB96025893935232,2023-03-09,865,2011-10-03
361,NMB37449814561725,2021-05-08,606,2020-01-24
362,WDB66497623198854,2017-06-26,513,2015-06-03
363,W1T40257767311897,2017-08-17,495,2013-04-13
364,WDB62944511186645,2023-01-15,625,2023-01-01
365,WEB82410665094291,2014-03-02,239,2012-01-08
366,WDB34140298647408,2021-12-07,644,2017-06-27
367,WDB56134563407514,2023-05-24,601,2016-05-04
368,W1T86206397853673,2016-11-11,930,2015-06-15
369,WEB53181694072789,2022-07-07,785,2018-07-05
370,NMB18646685916431,2023-05-16,555,2023-04-11
371,WDB23733463181291,2023-05-29,546,2019-10-29
372,WDB43652106597690,2020-06-23,917,2020-01-02
373,NMB28275176338259,2022-01-14,647,2021-06-04
374,WDB94399610370352,2023-05-17,220,2015-10-01
375,NMB64664017758049,2023-07-26,620,2021-09-15
376,WDB59274933939629,2022-10-18,661,2018-06-24
377,WEB63849164018838,2021-11-21,921,2021-06-25
378,WDB25623233280394,2014-02-16,535,2013-11-23
379,WEB30016918924845,2015-04-04,919,2013-06-20
380,W1T60187200399828,2021-06-06,875,2016-08-07
381,NMB18000342425799,2023-03-13,926,2019-06-01
382,WDB82641171243611,2023-02-17,642,2022-02-10
383,WDB73323242376737,2023-04-05,632,2023-01-03
384,W1T85115898261382,2023-03-15,812,2021-07-21
385,WEB75071370404003,2022-09-10,627,2021-12-15
386,W1T80356345391277,2021-07-01,924,2020-07-19
387,NMB76908812921493,2023-09-12,550,2022-08-27
388,WEB56040059688834,2018-09-17,215,2018-03-27
389,WEB56930350624604,2019-05-17,521,2014-12-24
390,WEB40307410070095,2021-12-22,878,2020-04-09
391,WDB25054036696472,2022-07-09,822,2021-05-16
392,WEB98319913059122,2022-12-05,875,2022-11-25
393,WEB72296039625450,2019-05-13,275,2017-02-14
394,W1T52651448245550,2021-09-12,294,2017-03-02
395,WDB17666357760341,2013-09-04,524,2013-07-05
396,WEB55438146651348,2023-01-21,402,2022-05-20
397,W1T20800362652575,2022-05-20,642,2021-02-18
398,WEB92590349171678,2022-12-10,292,2019-07-07
399,WEB87458342812132,2017-10-23,835,2016-09-11
400,W1T77076864313258,2022-11-03,924,2021-09-06
401,NMB78330323386910,2022-01-29,751,2021-06-09
402,NMB74828264705450,2023-02-15,847,2023-01-30
403,WEB20847238234296,2022-09-03,821,2012-12-17
404,W1T94647672759809,2022-12-19,529,2022-11-05
405,W1T47710159093766,2012-04-03,727,2011-09-11
406,WEB81911643866186,2021-04-06,653,2019-10-22
407,WEB87066549508533,2021-11-14,229,2013-05-15
408,WDB16039781297208,2014-03-28,412,2012-05-03
409,W1T84269001753560,2020-10-12,639,2016-11-11
410,W1T35925537561922,2014-07-31,542,2014-01-30
411,W1T18748590007485,2019-07-02,682,2013-07-09
412,WEB74672184675481,2021-08-20,831,2013-07-25
413,NMB55031423916386,2012-09-01,215,2011-03-10
414,W1T60580823760261,2023-09-01,681,2017-12-26
415,W1T16754962755584,2023-03-17,741,2022-01-17
416,NMB77794804192363,2015-01-13,538,2013-03-01
417,WEB92039672182692,2016-11-18,812,2014-09-10
418,W1T52273745980675,2014-11-22,247,2011-04-13
419,WDB84251033203912,2022-07-30,885,2017-01-24
420,NMB23508683071872,2019-03-27,816,2019-02-02
421,WEB61450808341807,2020-03-16,556,2011-08-07
422,W1T12530487962331,2022-10-08,535,2022-06-28
423,WEB63203909279107,2015-09-20,706,2015-01-04
424,W1T42748884957122,2022-08-11,293,2020-07-17
425,WEB53880525761560,2018-11-27,685,2017-02-19
426,WDB73226019492780,2021-02-05,252,2019-03-07
427,WDB67374761037152,2023-01-21,768,2014-03-21
428,WEB10997898825166,2014-10-27,297,2012-10-06
429,W1T31665431052392,2021-01-10,385,2018-09-01
430,W1T31158382667038,2013-10-22,883,2011-01-16
431,WEB17711684064062,2023-07-02,604,2016-07-12
432,W1T70339327362669,2022-09-26,808,2021-12-21
433,NMB32685180604312,2021-07-14,203,2011-01-17
434,W1T43696919731224,2020-12-28,553,2020-02-18
435,WEB86824129151825,2015-05-14,638,2014-07-28
436,WDB99028104094303,2022-08-17,245,2021-02-12
437,WDB39577720563979,2021-06-03,269,2020-09-30
438,W1T13896684241858,2017-07-13,558,2017-02-26
439,W1T71271553206018,2021-03-05,761,2017-07-15
440,WDB56991854520930,2020-04-06,283,2019-08-16
441,NMB45156969932928,2022-10-16,605,2021-03-17
442,NMB28597932256756,2019-12-26,240,2018-07-04
443,W1T69922603346291,2023-08-21,529,2020-04-09
444,WEB80141244832857,2016-01-20,556,2015-04-30
445,W1T26449436312879,2017-01-21,211,2015-11-16
446,W1T19635415468351,2015-04-18,769,2015-02-23
447,WEB20348784194882,2023-09-27,805,2021-11-15
448,NMB93929363023053,2022-06-24,563,2017-03-12
449,WEB44185877588200,2022-05-15,579,2015-03-08
450,WEB22928877006705,2019-06-28,211,2016-10-27
451,W1T67456942318642,2020-03-23,639,2019-02-03
452,NMB49160464987031,2018-07-26,731,2011-09-02
453,NMB10978682738538,2020-11-06,617,2015-01-21
454,WDB92197939146712,2023-01-29,921,2017-10-23
455,W1T41128957515568,2018-01-25,880,2016-09-28
456,WEB23280054555942,2013-12-25,741,2013-06-15
457,WEB36592505700684,2018-10-27,685,2016-11-22
458,WDB89922380729455,2020-10-16,604,2017-09-12
459,NMB80095192808492,2020-08-11,818,2019-10-14
460,NMB83180036047660,2019-12-14,809,2017-04-05
461,NMB72511360867203,2021-06-05,206,2015-08-28
462,W1T13900821844307,2016-01-18,822,2015-08-17
463,W1T13104667113263,2023-06-04,401,2022-05-03
464,NMB26619750662715,2022-04-04,291,2019-09-29
465,WEB61068287676650,2023-07-25,920,2018-07-03
466,WDB97939360889082,2021-11-07,295,2011-10-17
467,WEB37987609896673,2017-04-05,542,2013-03-28
468,WEB84827042277502,2018-10-31,438,2017-09-13
469,WDB43187789395935,2022-05-16,581,2017-07-25
470,WEB10019297028369,2019-07-07,269,2016-03-27
471,WDB43738466995348,2022-09-11,863,2011-03-14
472,NMB24335613921690,2023-09-10,673,2022-12-23
473,WDB94318649270629,2016-12-15,809,2016-05-28
474,WDB17786136179943,2022-07-15,538,2020-04-10
475,WDB10214577029292,2023-01-15,851,2018-08-24
476,NMB23256082033534,2021-05-27,879,2016-07-18
477,WDB93257354053436,2019-05-02,226,2012-08-28
478,W1T10822224853868,2017-01-25,289,2014-11-11
479,WDB13752080036030,2019-01-22,915,2017-12-27
480,W1T49347462631336,2017-05-30,257,2013-08-11
481,WDB25086284126972,2021-07-17,747,2020-02-01
482,W1T67894856812902,2022-07-27,645,2019-10-08
483,NMB98369392556880,2022-03-19,296,2016-05-05
484,NMB57565839395430,2016-06-13,295,2011-07-30
485,WEB71560878121662,2021-12-14,733,2012-02-01
486,W1T60891705735516,2016-03-23,768,2013-10-07
487,W1T17617478704427,2023-07-20,296,2021-03-11
488,WEB43375929444593,2021-02-07,220,2016-04-22
489,WDB41365414269375,2023-05-17,795,2023-03-11
490,WEB10075826441376,2022-02-24,677,2020-07-17
491,WDB71568905616725,2021-05-04,244,2019-12-30
492,WDB23696886578102,2023-08-10,777,2019-09-07
493,WEB86217587242186,2022-03-07,287,2019-09-19
494,WEB95636811720754,2019-07-13,839,2016-04-16
495,NMB81163569860320,2023-09-06,523,2014-07-29
496,W1T98556232784764,2022-05-07,299,2012-01-25
497,WEB31982841701634,2022-04-18,401,2014-07-11
498,NMB89373632624993,2022-07-05,571,2015-12-17
499,WDB73072885763767,2023-08-30,667,2019-12-29
500,WDB19505022601667,2017-06-23,561,2016-01-01
501,W1T79116053792289,2018-08-16,816,2015-05-06
502,WDB67560647291286,2016-11-26,246,2016-10-04
503,W1T87900751883338,2019-11-26,669,2014-10-16
504,NMB89523769948718,2022-10-30,930,2020-06-02
505,NMB26452326274020,2023-07-03,805,2022-10-30
506,WEB29198660763465,2017-09-07,853,2015-09-19
507,W1T35472717761094,2016-11-03,835,2013-08-15
508,NMB85113782873968,2016-12-14,766,2016-02-03
509,WDB76081283595324,2022-07-06,406,2018-12-02
510,WDB78417125982246,2022-12-11,248,2022-01-27
511,NMB56138559176929,2013-06-26,868,2012-03-28
512,NMB98132181412722,2022-05-06,242,2021-04-05
513,W1T47692498204873,2020-10-29,812,2019-08-10
514,NMB76772319313741,2023-08-24,631,2021-12-02
515,NMB99650094466244,2017-11-27,220,2017-05-20
